course_title,domain,sub_domain,level,duration,paid_free,price,mentor,url
Google Data Analytics,Data Science,Data Analysis,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/google-data-analytics
"Foundations: Data, Data, Everywhere",Data Science,Data Analysis,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/foundations-data
IBM Generative AI Engineering,Data Science,Data Analysis,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering
IBM Data Science,Data Science,Data Analysis,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/ibm-data-science
Google AI,Data Science,Data Analysis,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/google-ai
Google AI Essentials,Data Science,Data Analysis,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/specializations/ai-essentials-google
Python for Everybody,Computer Science,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/specializations/python
Programming for Everybody (Getting Started with Python),Computer Science,General,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/python
IBM AI Developer,Computer Science,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
IBM DevOps and Software Engineering,Computer Science,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/devops-and-software-engineering
Google Cybersecurity,Computer Science,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/google-cybersecurity
Google UX Design,Computer Science,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/google-ux-design
Google IT Support,Information Technology,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/google-it-support
IBM Full Stack Software Developer,Information Technology,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
Technical Support Fundamentals,Information Technology,General,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/technical-support-fundamentals
IBM Data Engineering,Information Technology,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/ibm-data-engineer
Introduction to Generative AI Learning Path,Information Technology,General,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/specializations/introduction-to-generative-ai
Introduction to Generative AI,Information Technology,General,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/introduction-to-generative-ai
IBM AI Product Manager,Information Technology,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/ibm-ai-product-manager
Google Project Management,Business,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/google-project-management
Foundations of Project Management,Business,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/project-management-foundations
AI For Everyone,Business,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/ai-for-everyone
Financial Markets,Business,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/financial-markets-global
Google Digital Marketing & E-commerce,Business,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
Key Technologies for Business,Business,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/specializations/key-technologies-for-business
Generative AI for Digital Marketing,Business,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/specializations/generative-ai-for-digital-marketing
Learning How to Learn: Powerful mental tools to help you master tough subjects,Personal Development,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/learning-how-to-learn
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,Personal Development,General,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/mindshift
